Wavelength,1 blue,2 green,3 red,4 NIR,5 SWIR,7 SWIR,8 PAN
2269,,,,,,0.939,
2271,,,,,,0.916,
2273,,,,,,0.94,
2274,,,,,,0.93,
2276,,,,,,0.942,
2278,,,,,,0.957,
2280,,,,,,0.954,
2282,,,,,,0.951,
2284,,,,,,0.954,
2286,,,,,,0.966,
2288,,,,,,0.975,
2290,,,,,,0.985,
2292,,,,,,0.971,
2293,,,,,,0.973,
2295,,,,,,0.97,
2297,,,,,,0.993,
2299,,,,,,0.996,
2301,,,,,,0.983,
2303,,,,,,0.972,
2305,,,,,,1,
2307,,,,,,0.998,
2309,,,,,,0.971,
2310,,,,,,0.968,
2312,,,,,,0.967,
2314,,,,,,0.962,
2316,,,,,,0.949,
2318,,,,,,0.923,
2320,,,,,,0.929,
2322,,,,,,0.917,
2323,,,,,,0.934,
2325,,,,,,0.903,
2327,,,,,,0.926,
2329,,,,,,0.916,
2331,,,,,,0.942,
2333,,,,,,0.924,
2335,,,,,,0.92,
2337,,,,,,0.863,
2339,,,,,,0.824,
2340,,,,,,0.775,
2342,,,,,,0.684,
2344,,,,,,0.583,
2346,,,,,,0.48,
2348,,,,,,0.378,
2350,,,,,,0.275,
2352,,,,,,0.233,
2354,,,,,,0.171,
2355,,,,,,0.131,
2357,,,,,,0.111,
2359,,,,,,0.081,
2361,,,,,,0.069,
2363,,,,,,0.046,
2365,,,,,,0.029,
2367,,,,,,0.038,
2369,,,,,,0.002,
2371,,,,,,0.029,
2373,,,,,,0.016,
2374,,,,,,0.009,
2376,,,,,,0.017,
2378,,,,,,0.003,
2380,,,,,,0.015,
2382,,,,,,0,
2384,,,,,,0.009,
2386,,,,,,0.007,
