nm_Band,Panchromatic,Coastal Blue,Blue,Green,Yellow,Red,Red Edge,NIR1,NIR2
477,0.53090169,9.5398202E-06,0.85778186,2.0884719E-05,7.1226998E-07,9.283263E-07,1.3956496E-06,1.2771211E-06,1.9607187E-06
478,0.52861085,9.6440112E-06,0.86763035,2.1548632E-05,6.7792017E-07,9.2330394E-07,1.9051723E-06,1.4785991E-06,3.3967848E-07
479,0.52502256,7.3997947E-06,0.87304712,2.1999389E-05,6.9311543E-07,7.4132604E-07,1.3794296E-06,1.0421228E-06,2.7735927E-07
480,0.52223283,5.1441683E-06,0.87848171,2.2551527E-05,7.0747859E-07,5.6170622E-07,8.5101776E-07,6.0793501E-07,2.1472244E-07
481,0.52394779,8.1723921E-06,0.8779204,2.3585164E-05,7.1229697E-07,9.0487017E-07,2.2377336E-06,5.701786E-07,1.3756402E-07
482,0.52566474,1.1192774E-05,0.87735069,2.4622152E-05,7.1712654E-07,1.244254E-06,3.6291634E-06,5.3228919E-07,6.0141372E-08
483,0.52875017,1.1168752E-05,0.87653504,2.8587445E-05,6.3565414E-07,1.4459404E-06,7.9284956E-06,1.3592641E-06,1.4190335E-07
484,0.53101629,1.1126253E-05,0.87570434,3.2573985E-05,5.537304E-07,1.6487076E-06,1.2218121E-05,2.1898172E-06,2.2442052E-07
485,0.53366042,1.0999763E-05,0.878267,3.5601629E-05,6.9794563E-07,1.280237E-06,1.3833697E-05,1.5955409E-06,6.8024979E-07
486,0.53297164,1.0853879E-05,0.88083162,3.8750231E-05,8.4313332E-07,9.0922759E-07,1.5376942E-05,1.0063268E-06,1.1407488E-06
487,0.52978183,1.080197E-05,0.88535358,4.1890501E-05,7.0968022E-07,1.2098694E-06,1.0392802E-05,7.1378159E-07,9.5586661E-07
488,0.52742213,1.0768295E-05,0.88987152,4.5133204E-05,5.7706235E-07,1.5106722E-06,5.4223984E-06,4.2381168E-07,7.7087272E-07
489,0.52484215,9.9205279E-06,0.89871377,5.5715036E-05,6.5312206E-07,2.2316964E-06,4.6557302E-06,4.4826307E-07,4.025069E-07
490,0.52308945,9.0886249E-06,0.90757579,6.6428564E-05,7.3031748E-07,2.946434E-06,3.8784586E-06,4.7278266E-07,3.1963888E-08
491,0.53106382,9.0694031E-06,0.91739735,8.9364675E-05,6.5390821E-07,2.3614914E-06,3.1821144E-06,5.3826128E-07,1.6282713E-07
492,0.53824418,9.0683575E-06,0.92727543,0.00011238251,5.7780021E-07,1.7633921E-06,2.4801432E-06,6.0424912E-07,2.9520591E-07
493,0.54397883,1.1141674E-05,0.93384345,0.000175309,5.4891364E-07,1.9652361E-06,8.9087512E-06,5.2264586E-07,2.1736464E-07
494,0.54970428,1.3213489E-05,0.9403979,0.00023819049,5.2004107E-07,2.1669253E-06,1.5374962E-05,4.4109227E-07,1.3767023E-07
495,0.55727957,1.1728878E-05,0.95019152,0.00039629063,3.3690469E-07,2.8837944E-06,1.5336754E-05,3.357521E-07,1.3537828E-07
496,0.55724732,1.0235201E-05,0.96003056,0.00055533208,1.5359649E-07,3.6049211E-06,1.5382622E-05,2.2977567E-07,1.3307069E-07
497,0.55786546,7.675655E-06,0.97118818,0.00094120407,3.4960411E-07,2.6489564E-06,1.1797266E-05,1.9056574E-07,6.6812847E-08
498,0.55847423,5.0945367E-06,0.98241368,0.0013302747,5.4723933E-07,1.6763871E-06,8.0879153E-06,1.5008541E-07,1.25976E-10
499,0.55835691,3.2049947E-06,0.9911881,0.0022085651,3.6147891E-07,1.6125718E-06,4.6581115E-06,2.3329915E-07,3.6787949E-07
500,0.55823167,1.3064638E-06,1,0.0030918636,1.7464831E-07,1.5397676E-06,1.200003E-06,3.1793058E-07,7.3624619E-07
501,0.56700883,1.412747E-06,0.99661277,0.0054021691,2.7762876E-07,2.0564801E-06,8.659646E-07,2.2554062E-07,9.1935758E-07
502,0.57578699,1.5171888E-06,0.99321665,0.0077137454,3.806656E-07,2.5734709E-06,5.283004E-07,1.3309675E-07,1.1025663E-06
503,0.58601029,1.2330161E-06,0.96466338,0.014494754,2.4626466E-07,1.9677643E-06,2.5627524E-06,1.4955315E-07,5.6984253E-07
504,0.59628266,9.4536603E-07,0.93594168,0.021312825,1.1207247E-07,1.3587078E-06,4.6135195E-06,1.6609812E-07,3.4512133E-08
505,0.60553326,8.6250305E-07,0.85577938,0.040519839,2.2341053E-07,8.290051E-07,4.2209118E-06,2.4986261E-07,2.6560875E-08
506,0.60871959,7.7756962E-07,0.77545767,0.059763601,3.3496168E-07,2.9480909E-07,3.8361631E-06,3.3283596E-07,1.8431043E-08
507,0.61399523,6.7281925E-07,0.65464145,0.10901705,2.6245918E-07,2.5219506E-07,2.235684E-06,3.7482744E-07,6.0036331E-08
508,0.61842021,5.6552563E-07,0.53310461,0.1585592,1.904832E-07,2.0932656E-07,6.2574552E-07,4.1801781E-07,1.0205E-07
509,0.62216319,6.3376539E-07,0.41558092,0.25486166,1.7836139E-07,2.55141E-07,4.1356441E-07,3.171945E-07,1.5351605E-07
510,0.62679189,7.0224726E-07,0.29762947,0.35151038,1.6715516E-07,3.0111921E-07,2.0061343E-07,2.1600449E-07,2.0582567E-07
511,0.62121182,8.0142515E-07,0.22145089,0.46254831,1.668147E-07,2.7852037E-07,1.8560331E-07,3.1124363E-07,2.7435653E-07
512,0.6155771,9.0132722E-07,0.14469861,0.57440609,1.6646821E-07,2.5574689E-07,1.7047718E-07,4.0718775E-07,3.4505252E-07
513,0.60865882,8.7440191E-07,0.1066236,0.63767104,1.548916E-07,2.1699638E-07,1.9161347E-07,2.6797693E-07,3.9325589E-07
